baker,series,episode,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown,technical
Andrew,7,8,IN,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,25,Aerospace engineer,"Derby / Holywood, County Down",2
Andrew,7,9,STAR BAKER,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,25,Aerospace engineer,"Derby / Holywood, County Down",2
Andrew,7,10,Runner-up,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,25,Aerospace engineer,"Derby / Holywood, County Down",1
Annetha,1,1,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",30,Midwife,Essex,2
Annetha,1,2,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,30,Midwife,Essex,7
Annetha,1,3,NA,NA,NA,30,Midwife,Essex,NA
Annetha,1,4,NA,NA,NA,30,Midwife,Essex,NA
Annetha,1,5,NA,NA,NA,30,Midwife,Essex,NA
Annetha,1,6,NA,NA,NA,30,Midwife,Essex,NA
Antony,9,1,IN,NA,NA,30,Banker,London,12
Antony,9,2,IN,NA,NA,30,Banker,London,9
Antony,9,3,OUT,NA,NA,30,Banker,London,8
Antony,9,4,NA,NA,NA,30,Banker,London,NA
Antony,9,5,NA,NA,NA,30,Banker,London,NA
Antony,9,6,NA,NA,NA,30,Banker,London,NA
Antony,9,7,NA,NA,NA,30,Banker,London,NA
Antony,9,8,NA,NA,NA,30,Banker,London,NA
Antony,9,9,NA,NA,NA,30,Banker,London,NA
Antony,9,10,NA,NA,NA,30,Banker,London,NA
Beca,4,1,IN,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,31,Military Wives' Choir Singer,"Aldershot, Hampshire",8
Beca,4,2,IN,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,31,Military Wives' Choir Singer,"Aldershot, Hampshire",11
Beca,4,3,IN,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,31,Military Wives' Choir Singer,"Aldershot, Hampshire",10
Beca,4,4,IN,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,31,Military Wives' Choir Singer,"Aldershot, Hampshire",2
Beca,4,5,IN,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,31,Military Wives' Choir Singer,"Aldershot, Hampshire",5
Beca,4,6,IN,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,31,Military Wives' Choir Singer,"Aldershot, Hampshire",6
Beca,4,7,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,31,Military Wives' Choir Singer,"Aldershot, Hampshire",1
Beca,4,8,IN,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4
Beca,4,9,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,31,Military Wives' Choir Singer,"Aldershot, Hampshire",3
Beca,4,10,NA,NA,NA,31,Military Wives' Choir Singer,"Aldershot, Hampshire",NA
Ben,2,1,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,31,Graphic Designer,Northampton,2
Ben,2,2,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,31,Graphic Designer,Northampton,1
Ben,2,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,31,Graphic Designer,Northampton,3
Ben,2,4,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,31,Graphic Designer,Northampton,5
Ben,2,5,NA,NA,NA,31,Graphic Designer,Northampton,NA
Ben,2,6,NA,NA,NA,31,Graphic Designer,Northampton,NA
Ben,2,7,NA,NA,NA,31,Graphic Designer,Northampton,NA
Ben,2,8,NA,NA,NA,31,Graphic Designer,Northampton,NA
Benjamina,7,1,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,23,Teaching assistant,South London,6
Benjamina,7,2,IN,Bouquet Biscuits,"New York, New York",23,Teaching assistant,South London,3
Benjamina,7,3,IN,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,23,Teaching assistant,South London,6
Benjamina,7,4,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,23,Teaching assistant,South London,1
Benjamina,7,5,IN,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,23,Teaching assistant,South London,5
Benjamina,7,6,IN,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,23,Teaching assistant,South London,2
Benjamina,7,7,IN,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,23,Teaching assistant,South London,3
Benjamina,7,8,OUT,Mexican Adventure,Tudor Garden,23,Teaching assistant,South London,4
Benjamina,7,9,NA,NA,NA,23,Teaching assistant,South London,NA
Benjamina,7,10,NA,NA,NA,23,Teaching assistant,South London,NA
Brendan,3,1,IN,"Plum, Sour Cherry & Walnut",UNKNOWN,63,Recruitment consultant,Sutton Coldfield,10
Brendan,3,2,IN,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",63,Recruitment consultant,Sutton Coldfield,4
Brendan,3,3,IN,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",63,Recruitment consultant,Sutton Coldfield,9
Brendan,3,4,STAR BAKER,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",63,Recruitment consultant,Sutton Coldfield,1
Brendan,3,5,IN,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,63,Recruitment consultant,Sutton Coldfield,3
Brendan,3,6,STAR BAKER,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",63,Recruitment consultant,Sutton Coldfield,1
Brendan,3,7,IN,Chelsea Bunskis,Black Forest Christmas Stollen,63,Recruitment consultant,Sutton Coldfield,4
Brendan,3,8,IN,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,63,Recruitment consultant,Sutton Coldfield,2
Brendan,3,9,IN,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,63,Recruitment consultant,Sutton Coldfield,3
Brendan,3,10,Runner-up,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,63,Recruitment consultant,Sutton Coldfield,2
Briony,9,1,IN,NA,NA,33,Full-time parent,Bristol,2
Briony,9,2,IN,NA,NA,33,Full-time parent,Bristol,5
Briony,9,3,IN,NA,NA,33,Full-time parent,Bristol,9
Briony,9,4,IN,NA,NA,33,Full-time parent,Bristol,5
Briony,9,5,IN,NA,NA,33,Full-time parent,Bristol,6
Briony,9,6,STAR BAKER,NA,NA,33,Full-time parent,Bristol,1
Briony,9,7,IN,NA,NA,33,Full-time parent,Bristol,5
Briony,9,8,IN,NA,NA,33,Full-time parent,Bristol,1
Briony,9,9,OUT,NA,NA,33,Full-time parent,Bristol,3
Briony,9,10,NA,NA,NA,33,Full-time parent,Bristol,NA
Candice,7,1,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",31,PE teacher,"Barton-Le-Clay, Bedfordshire",5
Candice,7,2,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,31,PE teacher,"Barton-Le-Clay, Bedfordshire",8
Candice,7,3,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,31,PE teacher,"Barton-Le-Clay, Bedfordshire",3
Candice,7,4,IN,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2
Candice,7,5,STAR BAKER,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",31,PE teacher,"Barton-Le-Clay, Bedfordshire",2
Candice,7,6,IN,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,31,PE teacher,"Barton-Le-Clay, Bedfordshire",5
Candice,7,7,IN,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2
Candice,7,8,STAR BAKER,Cheesy Cheeky Fish Pies,Peacock,31,PE teacher,"Barton-Le-Clay, Bedfordshire",1
Candice,7,9,IN,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,31,PE teacher,"Barton-Le-Clay, Bedfordshire",3
Candice,7,10,WINNER,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2
Cathryn,3,1,IN,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,27,Shop assistant,"Pease Pottage, West Sussex",5
Cathryn,3,2,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",27,Shop assistant,"Pease Pottage, West Sussex",8
Cathryn,3,3,IN,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",27,Shop assistant,"Pease Pottage, West Sussex",3
Cathryn,3,4,IN,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",27,Shop assistant,"Pease Pottage, West Sussex",3
Cathryn,3,5,IN,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,27,Shop assistant,"Pease Pottage, West Sussex",1
Cathryn,3,6,IN,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,27,Shop assistant,"Pease Pottage, West Sussex",3
Cathryn,3,7,IN,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,27,Shop assistant,"Pease Pottage, West Sussex",5
Cathryn,3,8,OUT,Cheese and Pickle Crackers,Gingerbread Buckingham Palace,27,Shop assistant,"Pease Pottage, West Sussex",5
Cathryn,3,9,NA,NA,NA,27,Shop assistant,"Pease Pottage, West Sussex",NA
Cathryn,3,10,NA,NA,NA,27,Shop assistant,"Pease Pottage, West Sussex",NA
Chetna,5,1,IN,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,35,Fashion Designer,"Broadstairs, Kent",3
Chetna,5,2,IN,Fenugreek and Carom Crackers,Day On The Beach,35,Fashion Designer,"Broadstairs, Kent",8
Chetna,5,3,IN,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,35,Fashion Designer,"Broadstairs, Kent",8
Chetna,5,4,IN,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",35,Fashion Designer,"Broadstairs, Kent",3
Chetna,5,5,IN,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,35,Fashion Designer,"Broadstairs, Kent",2
Chetna,5,6,STAR BAKER,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,35,Fashion Designer,"Broadstairs, Kent",2
Chetna,5,7,IN,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,35,Fashion Designer,"Broadstairs, Kent",6
Chetna,5,8,IN,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,35,Fashion Designer,"Broadstairs, Kent",1
Chetna,5,9,OUT,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",35,Fashion Designer,"Broadstairs, Kent",4
Chetna,5,10,NA,NA,NA,35,Fashion Designer,"Broadstairs, Kent",NA
Chris,8,1,IN,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,50,Software developer,Bristol,12
Chris,8,2,OUT,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,50,Software developer,Bristol,11
Chris,8,3,NA,NA,NA,50,Software developer,Bristol,NA
Chris,8,4,NA,NA,NA,50,Software developer,Bristol,NA
Chris,8,5,NA,NA,NA,50,Software developer,Bristol,NA
Chris,8,6,NA,NA,NA,50,Software developer,Bristol,NA
Chris,8,7,NA,NA,NA,50,Software developer,Bristol,NA
Chris,8,8,NA,NA,NA,50,Software developer,Bristol,NA
Chris,8,9,NA,NA,NA,50,Software developer,Bristol,NA
Chris,8,10,NA,NA,NA,50,Software developer,Bristol,NA
Christine,4,1,IN,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,66,Director of an engraving company,"Didcot, Oxfordshire",3
Christine,4,2,IN,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,66,Director of an engraving company,"Didcot, Oxfordshire",4
Christine,4,3,STAR BAKER,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,66,Director of an engraving company,"Didcot, Oxfordshire",4
Christine,4,4,IN,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,66,Director of an engraving company,"Didcot, Oxfordshire",7
Christine,4,5,STAR BAKER,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,66,Director of an engraving company,"Didcot, Oxfordshire",1
Christine,4,6,IN,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,66,Director of an engraving company,"Didcot, Oxfordshire",4
Christine,4,7,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,66,Director of an engraving company,"Didcot, Oxfordshire",6
Christine,4,8,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,66,Director of an engraving company,"Didcot, Oxfordshire",5
Christine,4,9,NA,NA,NA,66,Director of an engraving company,"Didcot, Oxfordshire",NA
Christine,4,10,NA,NA,NA,66,Director of an engraving company,"Didcot, Oxfordshire",NA
Claire,5,1,OUT,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,31,Speech Therapist,"Ashton upon Mersey, Trafford",8
Claire,5,2,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA
Claire,5,3,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA
Claire,5,4,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA
Claire,5,5,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA
Claire,5,6,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA
Claire,5,7,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA
Claire,5,8,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA
Claire,5,9,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA
Claire,5,10,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA
Dan,9,1,IN,NA,NA,36,Full-time parent,London,4
Dan,9,2,IN,NA,NA,36,Full-time parent,London,3
Dan,9,3,IN,NA,NA,36,Full-time parent,London,6
Dan,9,4,STAR BAKER,NA,NA,36,Full-time parent,London,1
Dan,9,5,IN,NA,NA,36,Full-time parent,London,2
Dan,9,6,OUT,NA,NA,36,Full-time parent,London,6
Dan,9,7,NA,NA,NA,36,Full-time parent,London,NA
Dan,9,8,NA,NA,NA,36,Full-time parent,London,NA
Dan,9,9,NA,NA,NA,36,Full-time parent,London,NA
Dan,9,10,NA,NA,NA,36,Full-time parent,London,NA
Dan,10,1,OUT,NA,NA,32,Support worker,Rotherham,9
Dan,10,2,NA,NA,NA,32,Support worker,Rotherham,NA
Dan,10,3,NA,NA,NA,32,Support worker,Rotherham,NA
Dan,10,4,NA,NA,NA,32,Support worker,Rotherham,NA
Dan,10,5,NA,NA,NA,32,Support worker,Rotherham,NA
Dan,10,6,NA,NA,NA,32,Support worker,Rotherham,NA
Dan,10,7,NA,NA,NA,32,Support worker,Rotherham,NA
Dan,10,8,NA,NA,NA,32,Support worker,Rotherham,NA
Dan,10,9,NA,NA,NA,32,Support worker,Rotherham,NA
Dan,10,10,NA,NA,NA,32,Support worker,Rotherham,NA
Danny,3,1,IN,"Plum, Ginger & Orange",UNKNOWN,45,Intensive care consultant,Sheffield,7
Danny,3,2,IN,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,45,Intensive care consultant,Sheffield,3
Danny,3,3,IN,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",45,Intensive care consultant,Sheffield,2
Danny,3,4,IN,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",45,Intensive care consultant,Sheffield,2
Danny,3,5,IN,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,45,Intensive care consultant,Sheffield,7
Danny,3,6,IN,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",45,Intensive care consultant,Sheffield,2
Danny,3,7,STAR BAKER,Bakewell Chelsea Buns,European Christmas Wreath,45,Intensive care consultant,Sheffield,2
Danny,3,8,IN,Spiced Almond Drinks Crackers,Gingerbread Big Ben,45,Intensive care consultant,Sheffield,4
Danny,3,9,OUT,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,45,Intensive care consultant,Sheffield,4
Danny,3,10,NA,NA,NA,45,Intensive care consultant,Sheffield,NA
David,1,1,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",31,Entrepreneur,Milton Keynes,3
David,1,2,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,31,Entrepreneur,Milton Keynes,8
David,1,3,IN,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",31,Entrepreneur,Milton Keynes,4
David,1,4,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",31,Entrepreneur,Milton Keynes,5
David,10,1,IN,NA,NA,36,International health adviser,Whitby,10
David,10,2,IN,NA,NA,36,International health adviser,Whitby,2
David,10,3,IN,NA,NA,36,International health adviser,Whitby,2
David,10,4,IN,NA,NA,36,International health adviser,Whitby,2
David,10,5,IN,NA,NA,36,International health adviser,Whitby,9
David,10,6,IN,NA,NA,36,International health adviser,Whitby,2
David,10,7,IN,NA,NA,36,International health adviser,Whitby,2
David,10,8,IN,NA,NA,36,International health adviser,Whitby,1
David,10,9,IN,NA,NA,36,International health adviser,Whitby,2
David,10,10,WINNER,NA,NA,36,International health adviser,Whitby,1
David,1,5,NA,NA,NA,31,Entrepreneur,Milton Keynes,NA
David,1,6,NA,NA,NA,31,Entrepreneur,Milton Keynes,NA
Deborah,4,1,IN,Pineapple Cake,'Coffee Time',51,Dentist,Peterborough,9
Deborah,4,2,IN,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,51,Dentist,Peterborough,8
Deborah,4,3,OUT,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,51,Dentist,Peterborough,9
Deborah,4,4,NA,NA,NA,51,Dentist,Peterborough,NA
Deborah,4,5,NA,NA,NA,51,Dentist,Peterborough,NA
Deborah,4,6,NA,NA,NA,51,Dentist,Peterborough,NA
Deborah,4,7,NA,NA,NA,51,Dentist,Peterborough,NA
Deborah,4,8,NA,NA,NA,51,Dentist,Peterborough,NA
Deborah,4,9,NA,NA,NA,51,Dentist,Peterborough,NA
Deborah,4,10,NA,NA,NA,51,Dentist,Peterborough,NA
Diana,5,1,IN,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5
Diana,5,2,IN,Parmesan Triangles,"Express, First Class",69,Women's Institute (WI) Judge,"Alkington, Shropshire",7
Diana,5,3,IN,Rustic Picnic Rolls,Sharing Savoury Pinwheel,69,Women's Institute (WI) Judge,"Alkington, Shropshire",7
Diana,5,4,IN,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,69,Women's Institute (WI) Judge,"Alkington, Shropshire",9
Diana,5,5,WD,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA
Diana,5,6,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA
Diana,5,7,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA
Diana,5,8,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA
Diana,5,9,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA
Diana,5,10,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA
Dorret,6,1,IN,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,53,Accountant,"Penwortham, Lancashire",5
Dorret,6,2,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,53,Accountant,"Penwortham, Lancashire",1
Dorret,6,3,OUT,Walnut and Stilton Soda Breads,Unmade Bread,53,Accountant,"Penwortham, Lancashire",6
Dorret,6,4,NA,NA,NA,53,Accountant,"Penwortham, Lancashire",NA
Dorret,6,5,NA,NA,NA,53,Accountant,"Penwortham, Lancashire",NA
Dorret,6,6,NA,NA,NA,53,Accountant,"Penwortham, Lancashire",NA
Dorret,6,7,NA,NA,NA,53,Accountant,"Penwortham, Lancashire",NA
Dorret,6,8,NA,NA,NA,53,Accountant,"Penwortham, Lancashire",NA
Dorret,6,9,NA,NA,NA,53,Accountant,"Penwortham, Lancashire",NA
Dorret,6,10,NA,NA,NA,53,Accountant,"Penwortham, Lancashire",NA
Edd,1,1,IN,Caramel Cinnamon and Banana Cake,N/A,24,Debt collector for Yorkshire Bank,Bradford,1
Edd,1,2,IN,Oatmeal Raisin Cookie,Pink Macarons,24,Debt collector for Yorkshire Bank,Bradford,6
Edd,1,3,IN,Olive Bread,Tomato and Mozzarella,24,Debt collector for Yorkshire Bank,Bradford,1
Edd,1,4,IN,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",24,Debt collector for Yorkshire Bank,Bradford,3
